pair_id,provider,v_i,v_next,commitment_id,category,v_i_section,v_i_text,v_next_section,v_next_text,outcome,materiality_dims,material,announcement,changelog_pointer,confidence,rationale,flags,ADJ_outcome,ADJ_material,ADJ_dims,ADJ_announcement,ADJ_flags,ADJ_mode,ADJ_notes,in_second_coder_sample
ANT-1,Anthropic,v1.0,v2.0,ANT-1-011,S,ASL-2 and ASL-3 Security Commitments,"Segmented system isolation must ensure limited blast radius. Features like zero trust architecture should require access from approved devices. Strict protocols must be deployed to regulate weight copies on company networks and limit storage to only approved, restricted systems.",Appendix B: ASL-2 Standard,"Compartmentalization: Segmented system isolation must ensure limited blast radius. Features like zero trust architecture should require access from approved devices. Strict protocols must be deployed to regulate weight copies on company networks and limit storage to only approved, restricted systems.",R,,no,NA,NA,high,Text identical apart from the added label 'Compartmentalization'; modal force and scope unchanged.,Added from full text (appendix bullet).,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-012,S,ASL-2 and ASL-3 Security Commitments,"Standard security infrastructure, monitoring software, access management tools, and disk encryption provide a technology baseline but should be extended further by monitoring for scaled abuse that performs prompt-based model detail extraction (e.g. distillation attacks). Process elements like incident reporting procedures, lost/stolen device protocols and Detection and Response should support these. External validation like SOC 2 compliance and continuous vulnerability management must ensure adaptations match infosec developments. Programs like bug bounties and vulnerability discovery should incentivize exposing flaws.",Appendix B: ASL-2 Standard,"Infrastructure: Standard security infrastructure, monitoring software, access management tools, and disk encryption provide a technology baseline. Process elements like incident reporting procedures, lost/stolen device protocols and Detection and Response should support these. External validation like SOC 2 compliance and continuous vulnerability management must ensure adaptations match infosec developments. Programs like bug bounties and vulnerability discovery should incentivize exposing flaws.",W,1,yes,ANN,[changelog] We also removed the commitment to protect against scaled attacks and distillation attacks from the ASL-2 Security standard.,high,'but should be extended further by monitoring for scaled abuse that performs prompt-based model detail extraction (e.g. distillation attacks)' is deleted; the scope of the ASL-2 infrastructure measure narrows; the remaining sentences are identical.,Added from full text (appendix bullet). The changelog names the commitment and the direction (removal).,W,yes,1,ANN,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-013,S,ASL-2 and ASL-3 Security Commitments,"Ongoing configuration management, compliance drills, integrated security approaches and mandatory external reviews should embed security within regular operations and harden processes during organizational changes.",Appendix B: ASL-2 Standard,"Operations: Ongoing configuration management, compliance drills, integrated security approaches and mandatory external reviews should embed security within regular operations and harden processes during organizational changes.",R,,no,NA,NA,high,Text identical apart from the added label 'Operations'; modal force and scope unchanged.,Added from full text (appendix bullet).,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-014,S,ASL-2 and ASL-3 Security Commitments,We will publish a more comprehensive list of our implemented ASL-2 security measures (with additional components not listed here) following the report's publication.,7.2. Transparency and External Input,Public disclosures: We will publicly release key information related to the evaluation and deployment of our models (not including sensitive details). These include summaries of related Capability and Safeguards reports when we deploy a model19 as well as plans for current and future ... comprehensive capability assessments and deployment and security safeguards.20,W,5,yes,SIL,NONE FOUND,low,'publish a more comprehensive list of our implemented ASL-2 security measures' becomes 'key information ... (not including sensitive details)' and 'plans for current and future ... security safeguards'; the disclosed object narrows from a comprehensive list of implemented measures to key information and plans.,Alternative X: 7.2.1 may not be a counterpart because it concerns plans and report summaries rather than the implemented ASL-2 measure list. v_next sentence is interrupted by footnotes and a page break in the text file (internal ellipsis). Candidate 91.,W,yes,5,SIL,,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-015,S,ASL-2 and ASL-3 Security Commitments,We will publish a more comprehensive list of our implemented ASL-3 security measures below (with additional components not listed here) following the report's publication.,7.2. Transparency and External Input,Public disclosures: We will publicly release key information related to the evaluation and deployment of our models (not including sensitive details). These include summaries of related Capability and Safeguards reports when we deploy a model19 as well as plans for current and future ... comprehensive capability assessments and deployment and security safeguards.20,W,5,yes,SIL,NONE FOUND,low,'publish a more comprehensive list of our implemented ASL-3 security measures' becomes 'key information ... (not including sensitive details)' and 'plans for ... security safeguards'; the disclosed object narrows.,Alternative X; alternative R because v2.0 section 4.2 states the ASL-3 Security Standard criteria within the policy itself. Same page-break note as ANT-1-014. Candidate 92.,W,yes,5,SIL,,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-016,EC5,ASL-2 Deployment Measures,"Model cards: Publish model cards for significant new models describing capabilities, limitations, evaluations, and intended use cases.",Appendix B: ASL-2 Standard,"Acceptable use policies and model cards: Publication of model cards for significant new models describing capabilities, limitations, evaluations, and intended use cases.",R,,no,NA,NA,high,'Publish model cards' becomes 'Publication of model cards' inside a standard all models 'must meet'; object and scope identical.,Bullet under lead-in candidate 27 ('our ASL-2 deployment commitments include'); added from full text.,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-017,M,ASL-2 Deployment Measures,"Acceptable use: Maintain and enforce an acceptable use policy (AUP) that restricts, at a minimum, catastrophic and high harm use cases, including using the model to generate content that could cause severe risks to the continued existence of humankind, or direct and severe harm to individuals.",Appendix B: ASL-2 Standard,"Enforcement of a Usage Policy that restricts, at a minimum, catastrophic and high harm use cases, including using the model to generate content that could cause severe risks to the continued existence of humankind, or direct and severe harm to individuals.",R,,no,NA,NA,high,'Maintain and enforce an acceptable use policy' becomes 'Enforcement of a Usage Policy'; the restricted use cases are quoted identically and both sit inside a mandatory standard.,Added from full text.,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-018,M,ASL-2 Deployment Measures,Vulnerability reporting: Provide clearly indicated paths for our consumer and API products where users can report harmful or dangerous model outputs or use cases.,Appendix B: ASL-2 Standard,"Vulnerability reporting channels: Clearly indicated paths within the product for users to report harmful or dangerous model outputs, as well as a bug bounty for universal jailbreaks.",S,1,yes,SIL,NONE FOUND,medium,'as well as a bug bounty for universal jailbreaks' is added to the reporting-channel measure; 'or use cases' is dropped from what users can report.,"Alternative W: the dropped 'or use cases' could be read as a scope reduction, which under codebook section 4 would make the row W with the bug bounty noted as strengthening. Added from full text.",S,yes,1,SIL,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-019,M,ASL-2 Deployment Measures,"Harm refusal techniques: Train models to refuse requests to aid in causing harm, such as with Constitutional AI or other improved techniques.",Appendix B: ASL-2 Standard,"Harmlessness training and automated detection: Training models to refuse requests to aid in causing harm, such as with Constitutional AI or other improved techniques, and the use of model enhanced trust and safety detection and enforcement.",R,,no,NA,NA,high,'Train models to refuse' becomes 'Training models to refuse' with identical examples; obligation and scope unchanged.,Added from full text.,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-020,M,ASL-2 Deployment Measures,"T&S tooling: Require model enhanced trust and safety detection and enforcement. Claude.ai, our native API, and our distribution partners currently use a classifier model to identify harmful user prompts and model completions6.",Appendix B: ASL-2 Standard,"Harmlessness training and automated detection: Training models to refuse requests to aid in causing harm, such as with Constitutional AI or other improved techniques, and the use of model enhanced trust and safety detection and enforcement.",R,,no,NA,NA,high,'Require model enhanced trust and safety detection and enforcement' becomes 'the use of model enhanced trust and safety detection and enforcement' inside a mandatory standard; the classifier sentence describes current practice.,split: the v1.0 T&S bullet also contains the fine-tuning sentence coded as ANT-1-021. Added from full text.,R,no,,NA,,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-021,M,ASL-2 Deployment Measures,"If automated fine-tuning is provided, data should similarly be filtered for harmfulness, and models should be subject to automated evaluation to ensure harmlessness features are not degraded.",Appendix B: ASL-2 Standard,"Fine-tuning protections: In finetuning products, data is filtered for harmfulness, and models are subject to automated evaluation to check harmlessness features are not degraded.",R,,no,NA,NA,medium,'should similarly be filtered' becomes 'is filtered' within a standard all models 'must meet'; scope (fine-tuning products) unchanged.,split from ANT-1-020. Alternative S dim 4 ('should' to indicative 'is').,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-022,M,ASL-3 Capabilities and Threat Models,"There are a very limited number of use cases where, at ASL-2, we would consider disabling this tooling. These may be negotiated on a case by case basis and must be considered exclusively for extremely low risk use cases that actively involve Anthropic personnel.",Appendix B: ASL-2 Standard,There are a very limited number of use cases where this tooling is disabled. These are negotiated on a case by case basis and considered only for extremely low risk use cases that involve company personnel.,R,,no,NA,NA,low,"'we would consider disabling this tooling' becomes 'this tooling is disabled'; 'actively involve Anthropic personnel' becomes 'involve company personnel'; in v1.0 the exception attaches to the T&S classifier (footnote 6), in v2.0 to fine-tuning protections.","Unsettled: the referent of 'this tooling' moves from T&S detection to fine-tuning protections; alternative W (exception stated as standing practice rather than consideration) or S (exception scope narrowed to fine-tuning). v_i is footnote 6, listed by the extractor under the ASL-3 heading. Candidates 29, 30.",R,no,,NA,,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-023,EC2,ASL-3 Capabilities and Threat Models,"Capabilities that significantly increase risk of misuse catastrophe: Access to the model would substantially increase the risk of deliberately-caused catastrophic harm, either by proliferating capabilities, lowering costs, or enabling new methods of attack. This increase in risk is measured relative to today's baseline level of risk that comes from e.g. access to search engines and textbooks.",2. Capability Thresholds and Required Safeguards,"Chemical, Biological, Radiological, and Nuclear (CBRN) weapons. The ability to significantly help individuals or groups with basic technical backgrounds (e.g., undergraduate STEM degrees) create/obtain and deploy CBRN weapons. ... The ASL-3 Deployment Standard and the ASL-3 Security Standard, which protect against misuse and model-weight theft by non-state adversaries, are required.",W,1;2,yes,SIL,NONE FOUND,medium,The misuse trigger 'Access to the model would substantially increase the risk of deliberately-caused catastrophic harm' across misuse domains is replaced by a CBRN-only Capability Threshold ('significantly help individuals or groups with basic technical backgrounds'); cyber leaves threshold status (ANT-1-024) and the comparator 'today's baseline' is respecified in Appendix C as '2023-level online resources'.,"Alternative ANN via [post] 'Our updated policy defines two key Capability Thresholds', from which a reader may infer the misuse threshold now covers CBRN only; neither changelog nor post states that the misuse threshold narrowed. Appendix C specification traced here. Added from full text.",W,yes,1;2,SIL,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-024,EC1,ASL-3 Capabilities and Threat Models,"In the near future, we anticipate working with CBRN, cyber, and related experts to develop threat models and evaluations in those areas before they present substantial risks.",2. Capability Thresholds and Required Safeguards,"Cyber Operations: The ability to significantly enhance or automate sophisticated destructive cyber attacks, including but not limited to discovering novel zero-day exploit chains, developing complex malware, or orchestrating extensive hard-to-detect network intrusions. ... We will conduct either pre- or post-deployment testing, including specialized evaluations. We will document any salient results alongside our Capability Reports (see Section 3).",W,2,yes,SIL,NONE FOUND,medium,"Cyber moves from a domain to receive 'threat models and evaluations ... before they present substantial risks' (and a minimum red-teaming domain, ANT-1-039) to an 'Ongoing Assessment' capability with no Capability Threshold, tested 'either pre- or post-deployment'; modal force rises from 'anticipate' to 'will' (strengthening element).","Both directions present (W on threshold/timing, S on modal force); coded W per codebook section 4. Added from full text.",W,yes,2,SIL,MIX,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-025,EC3,ASL-3 Capabilities and Threat Models,"We define an ASL-3 model as one that can either immediately, or with additional post-training techniques corresponding to less than 1% of the total training cost, do at least one of the following two things. (By post-training techniques we mean the best capabilities elicitation techniques we are aware of at the time, including but not limited to fine-tuning, scaffolding, tool use, and prompt engineering.)",3.2. Comprehensive Assessment,"Elicitation: Demonstrate that, when given enough resources to extrapolate to realistic attackers, researchers cannot elicit sufficiently useful results from the model on the relevant tasks. ... We will also consider the possible performance increase from using resources that a realistic attacker would have access to, such as scaffolding, finetuning, and expert prompting. At minimum, we will perform basic finetuning for instruction following, tool use, minimizing refusal rates.",W,2,yes,ANN,"[changelog] Less prescriptive evaluation methodology: We have replaced some specifics in our previous testing methodology (e.g., using 1% of compute for elicitation or creating a 6x buffer), with more general requirements to (a) match expected efforts of potential adversaries",high,The quantitative elicitation allowance 'less than 1% of the total training cost' using 'the best capabilities elicitation techniques we are aware of' becomes 'enough resources to extrapolate to realistic attackers'; a fixed quantitative anchor becomes a qualitative adversary-matching standard.,example F (quantitative anchor becomes qualitative). Merged with Evaluation Protocol 'it is important that we are evaluating models with close to our best capabilities elicitation techniques' and the appendix Elicitation bullet. Added from full text.,W,yes,2,ANN,,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-026,EC2,ASL-3 Capabilities and Threat Models,"Autonomous replication in the lab: The model shows early signs of autonomous self-replication ability, as defined by 50% aggregate success rate on the tasks listed in [Appendix on Autonomy Evaluations]. ... The tasks will be chosen to be at a difficulty level that a domain expert (not world-class) human could complete each one in roughly 2–8 hours.",2. Capability Thresholds and Required Safeguards,"We will consider it sufficient to rule out the possibility that a model has surpassed the Autonomous AI R&D Capability Threshold by considering an earlier (i.e., less capable) checkpoint: the ability to autonomously perform a wide range of 2-8 hour software engineering tasks. ... We will test for this checkpoint and, by the time we reach it, we aim to have met (or be close to meeting) the ASL-3 Security Standard as an intermediate goal",W,2;6,yes,ANN,"[changelog] ARA threshold now a checkpoint: We replaced our previous autonomous replication and adaption (ARA) threshold with a “checkpoint” for autonomous AI capabilities. Rather than triggering higher safety standards automatically, reaching this checkpoint will prompt additional evaluation of the model’s capabilities and accelerate our preparation of stronger safeguards.",high,'50% aggregate success rate' triggering ASL-3 becomes a 'checkpoint' that prompts testing and an 'aim to have met (or be close to meeting)' the ASL-3 Security Standard; the quantitative pass criterion is removed and reaching the capability no longer obligates ASL-3 measures.,Merged candidate 72 (1-in-10 pass rule) and the appendix 50% threshold sentence; task-level protocol coded in ANT-1-069. Second v_i segment is from the appendix 'ASL-3 Evaluations for Autonomous Capabilities'.,W,yes,2;6,ANN,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-027,EC4,ASL-3 Capabilities and Threat Models,"Our first area of effort is in evaluating bioweapons risks where we will determine threat models and capabilities in consultation with a number of world-class biosecurity experts. We are now developing evaluations for these risks in collaboration with external experts to meet ASL-3 commitments, which will be a more systematized version of our recent work on frontier red-teaming.",7.2. Transparency and External Input,Expert input: We will solicit input from external experts in relevant domains in the process of developing and conducting capability and safeguards assessments. We may also solicit external expert input prior to making final decisions on the capability and safeguards assessments.,S,1,yes,ANN,[changelog] adding internal critique and external expert input on capability and safeguard assessments,medium,"'in consultation with a number of world-class biosecurity experts' for bioweapons becomes 'solicit input from external experts in relevant domains' for all capability and safeguards assessments; same 'will' force, broader scope.","Merged candidates 31, 32, 84. Alternative R: the v2.0 text no longer names biosecurity; a coder could treat the domain-specific commitment as reworded rather than broadened.",S,yes,1,ANN,,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-028,EC3,Evaluation Protocol,"False negatives due to harmlessness: While there are commercial and research incentives to develop maximally effective post-training techniques, certain evaluations may result in false negatives when used on commercial models. For example, harmlessness techniques may cause the model to refuse to assist with dangerous activities even when the underlying capability is present. Proper effort must be invested to avoid this type of false negative.",3.2. Comprehensive Assessment,"We should assume that jailbreaks and model weight theft are possibilities, and therefore perform testing on models without safety mechanisms (such as harmlessness training) that could obscure these capabilities.",S,1,yes,SIL,NONE FOUND,medium,'Proper effort must be invested to avoid this type of false negative' becomes the specific requirement to 'perform testing on models without safety mechanisms (such as harmlessness training)'; the method is specified where it was previously open.,"Alternative R (same rule, more specific instruction). Also absorbs v1.0 'the ASL-3 standard applies if the model is dangerous at any stage in its training (for example after pretraining but before RLHF)'. Added from full text.",S,yes,1,SIL,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-029,S,ASL-3 Containment Measures,"Model weight and code security: We commit to ensuring that ASL-3 models are stored in such a manner to minimize risk of theft by a malicious actor that might use the model to cause a catastrophe. Specifically, we will implement measures designed to harden our security so that non-state attackers are unlikely to be able to steal model weights, and advanced threat actors (e.g. states) cannot steal them without significant expense.",4.2. ASL-3 Security Standard,"When a model must meet the ASL-3 Security Standard, we will evaluate whether the measures we have implemented make us highly protected against most attackers’ attempts at stealing model weights. ... The following groups are out of scope for the ASL-3 Security Standard because further testing (as discussed below) should confirm that the model would not meaningfully increase their ability to do harm: state-sponsored programs that specifically target us (e.g., through novel attack chains or insider compromise)",W,1,yes,SIL,NONE FOUND,low,'advanced threat actors (e.g. states) cannot steal them without significant expense' has no counterpart; 'state-sponsored programs that specifically target us' are declared 'out of scope'; the set of adversaries the ASL-3 security commitment covers narrows.,"Unsettled: [changelog] 'Clarified ASL-3 and ASL-2 security threat models: We have clarified which actors are in and out of scope for the ASL-3 Security Standard' points at this commitment but does not state the direction (removal of the state-actor expense requirement); alternative ANN. Merged candidates 33, 34, 35. v1.0 footnote 7 already excluded ~10 state-backed non-state actors, which v2.0 retains.",W,yes,1,SIL,,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-030,S,ASL-3 Containment Measures,"Internal compartmentalization: We will limit access to training techniques and model hyperparameters to a need-to-know basis, in order to avoid proliferation of dangerous AI models and the empowerment of bad actors.",(none),NONE,X,1,yes,SIL,NONE FOUND,medium,"No v2.0 passage governs access to 'training techniques and model hyperparameters'; 4.2.2(a) covers 'access management, and weight access minimization' for model weights only.","Alternative W via 4.2.2(a) 'Perimeters and access controls' if training techniques are read as 'sensitive assets'. The RSP-page entry ('Access management and compartmentalization ... including training techniques and hyperparameters') describes non-binding plans, not framework text. Class-level 'More outcome-focused' line does not identify this measure. Added from full text.",X,yes,1,ANN-P,,adjudicated,Removed outright; changelog names the class (security specifics) but a reader would not know this one vanished -> ANN-P.,no
