unit_id,pair_id,provider,v_i,v_next,category,v_i_section,v_i_text,v_next_section,v_next_text,E_material,E_outcome,E_materiality_dims,E_announcement,E_notes
U12,ANT-1,Anthropic,v1.0,v2.0,G,(none),NONE,6.2. Restrict Deployment and Further Scaling,"In either case, the CEO and Responsible Scaling Officer will share their plan with the Board of Directors and the Long-Term Benefit Trust.",,,,,
U13,NAV-1,Naver,2024,v2.0,EC3,(none),NONE,Safety Evaluation,"After identifying both the risks predefined through the AI Risk Taxonomy and those that may arise during service operation, we conduct a safety evaluation. This evaluation examines from multiple angles whether the AI service operates as intended and whether it produces harmful or inaccurate outputs.",,,,,
U14,MSFT-1,Microsoft,v1,feb-2026,G,Updates to this framework,We will update our framework to keep pace with new developments.,Updates to this framework,We will update our framework to keep pace with new developments.,,,,,
U15,GDM-2,Google DeepMind,v3.0,v3.1,EC6,(none),NONE,1.3.5 Risk Acceptance Determination,"A model for which the inherent risk assessment indicates the TCL for ML R&D and misalignment risk has been reached will be deemed to pose an acceptable level of residual risk for further development or deployment, if: ○ We assess that the deployment mitigations have brought the residual risk of significant harm to an acceptable level, ... or if we assess that the model is very unlikely to possess the propensities that would be required for material risk...",,,,,
U16,META-1,Meta,v1.1,v2,EC2,(none),NONE,4.2.3 Loss of Control,"For example, we will assess a model’s ability to: ... Autonomously and consistently complete software engineering tasks which would take a human professional familiar with such tasks two or more hours. ... Consistently execute a main task and a side task in parallel, when tasks have competing objectives",,,,,
U17,NAV-1,Naver,2024,v2.0,EC2,A. AI risk assessment scale,"LLMs should be subject to periodic reviews or assessed whenever major performance improvements are made. ... Our goal is to have AI systems evaluated quarterly to mitigate loss of control risks, but when performance is seen to have increased six times, they will be assessed even before the three-month term is up.",(none),NONE,,,,,
U18,ANT-1,Anthropic,v1.0,v2.0,M,ASL-3 Deployment Measures,"Internal usage controls: Automated detection as described above will also apply for internal usage within Anthropic or its distribution partners. For internal usage (e.g. red-teaming, RL training, or other R&D activities), generated outputs and corresponding inputs are also logged and retained for at least 30 days for all internal use, including when used for training. These logs are monitored for abnormal activity, including harmful use or unexpected attempts by AI systems to take real-world actions. ...",4.1. ASL-3 Deployment Standard,"Trusted users: Establish criteria for determining when it may be appropriate to share a version of the model with reduced safeguards with trusted users. In addition, demonstrate that an alternative set of controls will provide equivalent levels of assurance. This could include a sufficient combination of user vetting, secure access controls, monitoring, log retention, and incident response protocols.",,,,,
U19,ANT-2,Anthropic,v2.2,v3.0,EC6,6.2. Restrict Deployment and Further Scaling,"In the security context, we will delete model weights.",(none),NONE,,,,,
U20,MSFT-1,Microsoft,v1,feb-2026,EC2,Monitoring for leading Indicators of high-risk capabilities,"Any model demonstrating frontier capabilities is then subject to a deeper capability assessment to provide strong confidence about whether it has a tracked capability and to what level, informing mitigations. ... 2 Frontier capabilities are defined as a significant jump in performance beyond the existing capability frontier in one advanced general-purpose capability or beyond frontier performance across the majority of these advanced general-purpose capabilities.",Monitoring for leading indicators of tracked high-risk capabilities,"Any model demonstrating frontier capabilities is then subject to a deeper capability assessment to provide strong confidence about whether it has a tracked high-risk capability and to what level, informing mitigations.",,,,,
U21,META-1,Meta,v1.1,v2,EC5,(none),NONE,2.2.1 Preparedness Reports,"Preparedness reports will also disclose any known issues that could hinder generalizing our safety testing to real‑world risks, including changes to the training process that reduce interpretability (including e.g., evidence that the training process may cause obfuscation of a model’s reasoning).",,,,,
U22,ANT-2,Anthropic,v2.2,v3.0,G,7.1. Internal Governance,"Policy changes:Changes to this policy will be proposedby the CEO and the Responsible Scaling Officer and approved by the Board of Directors, in consultation with the Long-Term Benefit Trust.17",4. Governance,"Policy changes: Changes to the RSP will be proposed by the CEO and RSO, and approved by the Board in consultation with the LTBT.",,,,,
U23,GDM-1,Google DeepMind,v2.0,v3.0,EC2,Framework: 2 - Assessing the Capabilities of Frontier Models,We may run early warning evaluations more frequently or adjust the alert threshold of our evaluations if the rate of progress suggests our safety buffer is no longer adequate.,1.3 Outline of Our Risk Assessment Process,We may run early warning evaluations more frequently or adjust the alert threshold of our evaluations if the rate of progress suggests our safety buffer is no longer adequate.,,,,,
U24,GDM-2,Google DeepMind,v3.0,v3.1,EC2,(none),NONE,1.2 Critical Capability Levels and Tracked Capability Levels,"This update to the Framework introduces “Tracked Capability Levels (TCLs).” TCLs are meant to capture significant risks that may manifest at a lower capability threshold than our CCLs and we apply our mitigation and risk acceptance determination process proportionately. We identify TCLs for CBRN risk, as well as ML R&D and misalignment risks. We may include TCLs for additional risks in the future, as our threat modeling develops.",,,,,
U25,GDM-1,Google DeepMind,v2.0,v3.0,S,(none),NONE,1.5 Evaluating Mitigations,"Security mitigations: security infrastructure at Google is subject to penetration testing and other kinds of assessments, and is continually improved based on these results.",,,,,
U26,META-1,Meta,v1.1,v2,EC6,Table 1,"Access is strictly limited to a small number of experts, alongside security protections to prevent hacking or exfiltration insofar as is technically feasible and commercially practicable.",Table 1,"Initiate protocols for heightened access controls to model weights as overseen by the Chief AI Officer and/or Director of Alignment and Risk, to prevent their tampering or exfiltration insofar as is technically feasible and commercially practicable.",,,,,
U27,ANT-1,Anthropic,v1.0,v2.0,S,ASL-2 and ASL-3 Security Commitments,"To scale to meet the risk from people-vectors, insider threat programs should be hardened to require multi-party controls and incentivize reporting risks. Endpoints should be hardened to run only allowed software.",4.2. ASL-3 Security Standard,"We will implement robust insider risk controls to mitigate most insider risk, but consider mitigating risks from highly sophisticated state-compromised insiders to be out of scope for ASL-3. We are committed to further enhancing these protections as a part of our ASL-4 preparations.",,,,,
U28,XAI-2,xAI,draft-2025-02-20,2025-08-20,M,(none),NONE,Addressing Risks of Malicious Use,"Our most basic safeguard against malicious use is to train and instruct our publicly deployed models to decline requests showing clear intent to engage in criminal activity which poses risks of severe harm to others, also known as our basic refusal policy.",,,,,
U29,OAI-1,OpenAI,beta,v2,EC3,Scorecard / Evaluating pre-mitigation risk,"To this end, for our evaluations, we will be running them not only on base models (with highly-performant, tailored prompts wherever appropriate), but also on fine-tuned versions designed for the particular misuse vector without any mitigations in place.",3.1 Evaluation approach,"Our evaluations are intended to approximate the full capability that the adversary contemplated by our threat model could extract from the deployment candidate model, including by using the highest-capability tier of system settings, using a version of the model that has a negligible rate of safety-based refusals on our Tracked Category capability evaluations (which may require a separate model variant), and with the best presently-available scaffolds. ... (e.g. doing finetuning if the weights will be released).",,,,,
U30,ANT-2,Anthropic,v2.2,v3.0,EC3,4. Safeguards Assessment,"To determine whether the measures we have adopted satisfy the ASL-3 Required Safeguards, we will conduct a safeguards assessment.As noted, the RequiredSafeguards for each Capability Threshold are specified inSection 2. We will document our implementationof the Required Safeguards in a Safeguards Report.",3.3. Contents,"Risk mitigations: For each in-scope model, the mitigations we are implementing across security, deployment safeguards, and alignment domains, along with discussion of their effectiveness.",,,,,
U31,XAI-2,xAI,draft-2025-02-20,2025-08-20,M,Addressing Risks of Loss of Control > 3.Thresholds,We intend to design into Grok adequate safeguards prior to broad internal or external deployment.,Addressing Risks of Loss of Control > 2. Risk Assessment,Thresholds: Our risk acceptance criteria for system deployment is maintaining a dishonesty rate of less than 1 out of 2 on MASK. We plan to add additional thresholds tied to other benchmarks.,,,,,
U32,XAI-2,xAI,draft-2025-02-20,2025-08-20,EC6,Operational and Societal Risks > 6.Deployment Decisions,"Safeguards are adequate only if Grok’s performance on the relevant benchmarks is within stated thresholds. However, to ensure responsible deployment, risk management frameworks need to be continually adapted and updated as circumstances change. It is conceivable that for a particular modality and/or type of release, the expected benefits may outweigh the risks on a particular benchmark.",Operational and Societal Risks > 6. Deployment Decisions,"We will also balance various factors when making deployment decisions. The necessity and extent of deployment of certain safeguards and mitigations may depend on how a model performs on relevant benchmarks. However, to ensure responsible deployment, this RMF will be continually adapted and updated as circumstances change. It is conceivable that for a particular modality and/or type of release, the expected benefits of model deployment may outweigh the risks identified by a particular benchmark. For example, a model that poses ...",,,,,
U33,META-1,Meta,v1.1,v2,EC3,2.1.2 Evaluate and mitigate,"Our evaluations can involve a combination of automated and human evaluations, as well as red teaming and uplift studies. Throughout development, we monitor performance against our expectations for the reference class as well as the enabling capabilities we have identified in our threat scenarios, and use these indicators as triggers for further evaluations as capabilities develop.",2.1.2 Evaluate and Mitigate,"Our evaluations can involve a combination of automated and human evaluations, as well as red teaming and uplift studies. Throughout development, we monitor performance against our expectations for the reference class as well as the enabling capabilities we have identified in our threat scenarios, and use these indicators as triggers for further evaluations as capabilities develop.",,,,,
U34,OAI-1,OpenAI,beta,v2,EC1,Tracked Risk Categories / Persuasion,"Persuasion is focused on risks related to convincing people to change their beliefs (or act on) both static and interactive model-generated content. ... Note that we include deception and social engineering evaluations as part of the persuasion risk category,",(none),NONE,,,,,
U35,XAI-1,xAI,draft-2025-02-10,draft-2025-02-20,M,Addressing Risks of Malicious Use,"We aim to reduce the risk that Grok might cause serious injury to people, property, or national security interests, including by enacting measures to prevent Grok’s use for the development or proliferation of weapons of mass destruction and large-scale violence.",Addressing Risks of Malicious Use,"We aim to reduce the risk that Grok might cause serious injury to people, property, or national security interests, including by enacting measures to prevent Grok’s use for the development or proliferation of weapons of mass destruction and large-scale violence.",,,,,
U36,ANT-1,Anthropic,v1.0,v2.0,EC5,ASL-3 Deployment Measures,"Vulnerability and incident disclosure: Engage in a vulnerability and incident disclosure process with other labs (subject to security or legal constraints) that covers red-teaming results, national security threats, and autonomous replication threats.",(none),NONE,,,,,
U37,META-1,Meta,v1.1,v2,EC6,Table 1,Do not release ... Implement mitigations to reduce risk to moderate levels. ... If the results of our evaluations indicate that a frontier AI has a “high” risk threshold by providing significant uplift towards realization of a catastrophic outcome we will not release the frontier AI externally.,Table 1 / 4.2.2 Chemical and Biological Risks,"Deploy with mitigations Proceed with deployment of the Frontier AI only if sufficient mitigations are defined, implemented and validated to reduce risk to that of a moderate or lower model. ... In the case where pre-mitigation testing suggests that a model has crossed the high risk threshold, we will not deploy the model externally unless we have strong additional evidence that mitigations are sufficiently robust to adversarial attacks that the fully mitigated model is reduced to moderate or lower levels.",,,,,
U38,GDM-2,Google DeepMind,v3.0,v3.1,EC2,Table 2.2.2.a: Cyber CCLs and Security Mitigations,Cyber uplift level 1: Provides sufficient uplift with high impact cyber attacks for additional expected harm at severe scale.,Table 2.2.2.a: Cyber CCL and Security Mitigations,Cyber uplift level 1: Provides sufficient uplift with high impact cyber attacks for additional expected harm at severe scale.,,,,,
U39,OAI-1,OpenAI,beta,v2,M,(none),NONE,4.2 Safeguard sufficiency,"We expect to continuously improve our safeguards over time. If we find reasonable evidence that our safeguards are not working as expected, we will validate the information being received and review the sufficiency of our safeguards.",,,,,
U40,GDM-1,Google DeepMind,v2.0,v3.0,EC6,Misuse: Deployment Mitigations,"The following deployment mitigation process will be applied to models reaching a CCL, allowing for iterative and flexible tailoring of mitigations to each risk and use case.",2.1.2 Deployment Mitigations / 3.1.2 Deployment Mitigations,"The following mitigation process for external deployments will be applied to models reaching a misuse CCL, allowing for iterative and flexible tailoring of mitigations to each risk and use case. ... The following mitigation process will be applied for deployments of a model reaching a ML R&D CCL. The approach is similar to misuse deployment mitigations, with an added focus on large scale internal deployments.",,,,,
U41,XAI-2,xAI,draft-2025-02-20,2025-08-20,M,Operational and Societal Risks > 5.Responsibility for Risks,"If xAI learned of an imminent threat of a significantly harmful event, including loss of control, we would take steps to stop or prevent that event, including potentially the following steps:",Operational and Societal Risks > 4. Responsibility for Risks,"Should it happen that xAI learns of an imminent threat of a significantly harmful event, including loss of control, we may take steps such as the following to stop or prevent that event:",,,,,
U42,NAV-1,Naver,2024,v2.0,G,External collaborations,we partner with top universities like Seoul National University (SNU) and Korea Advanced Institute of Science & Technology (KAIST) on the technology front and participate in the SNU AI Policy Initiative on the policy front.,Key Sharing and Collaboration Activities,"We collaborate with leading universities on research into AI technology and safety, and engage in AI policy collaboration through initiatives such as the Seoul National University AI Policy Initiative (SAPI).",,,,,
U43,OAI-1,OpenAI,beta,v2,EC2,Tracked Risk Categories / Cybersecurity,"Tool-augmented model can identify and develop proofs-of-concept for high-value exploits against hardened targets without human intervention, potentially involving novel exploitation techniques, OR provided with a detailed strategy, the model can end-to-end execute cyber operations involving the above tasks without human intervention.","2.2 Tracked Categories, Table 1",[High] The model removes existing bottlenecks to scaling cyber operations including by automating end-to-end cyber opera- tions against reasonably hardened targets OR by au- tomating the discovery and exploitation of operationally relevant vulnerabilities.,,,,,
U44,OAI-1,OpenAI,beta,v2,G,Operations / Process,"Fast-track: In the rare case that a severe risk rapidly develops (e.g., there is a change in our understanding of model safety that requires urgent response), the Preparedness team can request a fast track for the SAG to process the report urgently. The SAG Chair should also coordinate with OpenAI Leadership for immediate reaction as needed to address the risk",B Decision-making practices / Fast-track,"Fast-track. In the rare case that a risk of severe harm rapidly develops (e.g., there is a change in our understanding of model safety that requires urgent response), we can request a fast track for the SAG to process the report urgently. The SAG Chair should also coordinate with OpenAI Leadership for immediate reaction as needed to address the risk.",,,,,
U45,MSFT-1,Microsoft,v1,feb-2026,EC2,Deeper capability assessment,"• Timing of deeper capability assessment: After the first deeper capability assessment, we will conduct subsequent deeper capability assessments on a periodic basis, and at least once every six months.",Deeper capability assessment,"Timing of deeper capability assessment: After the first deeper capability assessment, we will conduct subsequent deeper capability assessments if there are material changes to the deployed model’s risk profile (e.g., the ability to fine-tune the model, significant fine-tuning that might affect tracked high-risk capabilities, etc.).",,,,,
U46,GDM-1,Google DeepMind,v2.0,v3.0,EC6,Misuse: Deployment Mitigations,Pre-deployment review of safety case: general availability deployment8 of a model takes place only after the appropriate corporate governance body determines the safety case regarding each CCL the model has reached to be adequate.,2.1.2 Deployment Mitigations,"Pre-deployment review of safety case: external deployments of a model take place only after the appropriate governance function determines the safety case regarding each CCL the model has reached to be adequate. In particular, we will deem deployment mitigations adequate if the evidence suggests that for the CCLs the model has reached, the increase in likelihood of severe harm has been reduced to an acceptable level.",,,,,
U47,XAI-4,xAI,2025-12-30,2026-06-30,M,Addressing Risks of Malicious Use,"xAI aims to reduce the risk that the use of its models might contribute to a bad actor potentially seriously injuring people, property, or national security interests, including reducing such risks by enacting measures to prevent use for the development or proliferation of weapons of mass destruction and large-scale violence.",2.1. Risk Identification > (a) Addressing CBRN Risks,"xAI aims to reduce the risk that the use of its models might contribute to a malicious actor potentially seriously injuring people, property, or national security interests, including reducing such risks by enacting measures to prevent use for the development or proliferation of weapons of mass destruction and large-scale violence.",,,,,
U48,ANT-2,Anthropic,v2.2,v3.0,S,4.2. ASL-3 Security Standard,"We will implement robust controls to mitigate basic insider risk, but consider mitigating risks from sophisticated or state-compromised insiders to be out of scope for ASL-3.",1. Our Recommendations for Industry-Wide Safety (industry recommendation column),"Even malicious employees and other insiders with maximal levels of access will not be significantly enabled to cause catastrophic harm. This requires (among other things) accounting for internal tools that are less restricted than product surfaces, and for the possibility of unauthorized modification of models.",,,,,
U49,XAI-3,xAI,2025-08-20-reupload-20250822,2025-12-30,G,(none),NONE,Overall Approach,"xAI references standards such as NIST's AI Risk Management Framework, ISO/IEC 42001 for AI management systems, and industry best practices from the Frontier Model Forum (e.g., red-teaming protocols). We evaluate these during annual reviews and integrate them into benchmarks (e.g., aligning WMDP with biosecurity consensus) and safeguards.",,,,,
U50,MSFT-1,Microsoft,v1,feb-2026,EC1,Tracked high-risk capabilities,"Any model that triggers leading indicator assessment is subject to robust baseline security protection. Security safeguards are then scaled up depending on the model’s pre-mitigation scores, with more robust measures applied to models with High and Critical risk levels.",Tracked high-risk capabilities,"Any model that triggers leading indicator assessment is subject to robust baseline security protection. Security safeguards are then scaled up depending on the model’s pre-mitigation scores, with more robust measures applied to models with High and Critical risk levels.",,,,,
